published_at;trade_register_number;county_court;company;city;postal_code;street;share_capital;business_purpose;primary_branch;managing_directors;short_info_file;info_file;short_info_url;info_url
09.09.2023;FN 611701k;;Unestablished Designs Handels OG;Wiener Neustadt;2700;Strelzhofgasse 56;;Online-Vertrieb diverser Print-On-Demand Produkte sowie Vertrieb selbst hergestellter Accessoires;;;;;https://www.unternehmen24.info/Firmeninformationen/Österreich/Firma/77776117019;
09.09.2023;FN 611697f;;Schwarzdecker-Tahiri e.U.;Wiener Neustadt;2700;Pleyergasse 3;;Wärme-, Kälte-, Schall- und Branddämmer (Handwerk);;;;;https://www.unternehmen24.info/Firmeninformationen/Österreich/Firma/77776116979;
09.09.2023;FN 611694a;;Sabrina Brandstätter-Gydja der Neuzeit e.U.;Graz-Andritz;8045;Papierfabrikgasse 6/18;;Hilfestellung zur Erreichung einer körperlichen bzw energetischen Ausgewogenheit... kurz: Humanenergetikerin;;;;;https://www.unternehmen24.info/Firmeninformationen/Österreich/Firma/77776116949;
09.09.2023;FN 611693z;;Bladeways e.U.;Graz;8010;Krenngasse 12;;Werbeagentur;;;;;https://www.unternehmen24.info/Firmeninformationen/Österreich/Firma/77776116939;
09.09.2023;FN 611690w;;Stern-en-Bauer-Frey-sein - Schule der Begegnung OG;Pramet;4925;Pramet 95;;Erwachsenenbildung;;;;;https://www.unternehmen24.info/Firmeninformationen/Österreich/Firma/77776116909;
09.09.2023;FN 611676z;;Popa GmbH;Natschbach-Loipersbach;2620;Gewerbestraße 7;35000 €;Bau und Pflasterbau;;;;;https://www.unternehmen24.info/Firmeninformationen/Österreich/Firma/77776116769;
09.09.2023;FN 611674x;;breeze Consulting KG;Graz;8042;Gerhart-Hauptmann-Gasse 23;;Unternehmensberatung, Coaching, Erstellen von Trainingskonzepten für gesundheitsbewusste Personen, Handel von Waren aller Art, Vermietung von Wohnmobilen und Wohnwagen;;;;;https://www.unternehmen24.info/Firmeninformationen/Österreich/Firma/77776116749;
09.09.2023;FN 611666i;;Seeadler Werbetechnik e.U.;Wien;1100;Fernkorngasse 76-78/40;;Werbetechnik;;;;;https://www.unternehmen24.info/Firmeninformationen/Österreich/Firma/77776116669;
09.09.2023;FN 611664g;;Anima Sana GmbH;Wien;1010;Neulinggasse 29/5a;35000 €;"Betrieb einer Ambulanz für Psychotherapie; Ausbildung auf dem Gebiet der Psychotherapie";;;;;https://www.unternehmen24.info/Firmeninformationen/Österreich/Firma/77776116649;
09.09.2023;FN 611661b;;CaLi sports&dance KG;Neufelden;4120;Linzer Straße 4;;Fitness- und Tanzstudio;;;;;https://www.unternehmen24.info/Firmeninformationen/Österreich/Firma/77776116619;
09.09.2023;FN 611658y;;ENERGIEFIT e.U.;Pettenbach;4643;Pratsdorfstraße 13/1;;Erstellung von Energieausweisen;;;;;https://www.unternehmen24.info/Firmeninformationen/Österreich/Firma/77776116589;
09.09.2023;FN 611654t;;Elwin Photo-Genius Werk Dolic e.U.;Wien;1230;Ziedlergasse 38/13/6;;Berufsfotograf;;;;;https://www.unternehmen24.info/Firmeninformationen/Österreich/Firma/77776116549;
09.09.2023;FN 611651m;;Assmann Immo GmbH;Leobersdorf;2544;Ared Straße 7/B303;35000 €;An- und Verkauf, Vermietung, Verwertung, Verwaltung, Verpachtung von Immobilien, Immobilienentwicklung;;;;;https://www.unternehmen24.info/Firmeninformationen/Österreich/Firma/77776116519;
09.09.2023;FN 611648h;;Solafro e.U.;Wien;1050;Siebenbrunnengasse 21/4/12;;Handel mit Solarkomponenten, spezialisiert auf Balkonkraftwerke;;;;;https://www.unternehmen24.info/Firmeninformationen/Österreich/Firma/77776116489;
09.09.2023;FN 611646f;;KFZ-Technik Altacher&Hartl OG;Saalfelden am Steinernen Meer;5760;Leogangerstraße 51 A;;Der Handel mit Fahrzeugen aller Art sowie der Betrieb einer KFZ-Werkstätte;;;;;https://www.unternehmen24.info/Firmeninformationen/Österreich/Firma/77776116469;
09.09.2023;FN 611638v;;Pernhaupt Kunsthandels GmbH;Wien;1060;Gumpendorferstraße 17;35000 €;Handel mit Waren aller Art, insbesondere mit Altwaren im In- und Ausland;;;;;https://www.unternehmen24.info/Firmeninformationen/Österreich/Firma/77776116389;
09.09.2023;FN 611628d;;Winzerpost OG;Sooß;2504;Gartengasse 12;;Handel mit Waren aller Art, insbesondere mit Wein;;;;;https://www.unternehmen24.info/Firmeninformationen/Österreich/Firma/77776116289;
09.09.2023;FN 611627b;;universe e.U.;Wiener Neustadt;2700;Rudolf Kumbein-Gasse 24/18/8;;Warenhandel;;;;;https://www.unternehmen24.info/Firmeninformationen/Österreich/Firma/77776116279;
09.09.2023;FN 611625z;;Aventis 2. Neptun GmbH;Wien;1010;Hoher Markt 4/2/35;35000 €;Vermögensverwaltung;;;;;https://www.unternehmen24.info/Firmeninformationen/Österreich/Firma/77776116259;
09.09.2023;FN 611623x;;Aventis 1. Neptun GmbH;Wien;1010;Hoher Markt 4/2/35;35000 €;Vermögensverwaltung;;;;;https://www.unternehmen24.info/Firmeninformationen/Österreich/Firma/77776116239;
09.09.2023;FN 611622w;;L8 Projekt plus GmbH;Bleiburg;9150;Gewerbezone 10;35000 €;Der Handel mit Metallprodukten aller Art, Handel mit Waren aller Art;;;;;https://www.unternehmen24.info/Firmeninformationen/Österreich/Firma/77776116229;
09.09.2023;FN 611620t;;Bianca Smonjak e.U.;Klagenfurt am Wörthersee;9020;Kanaltalerstraße 11;;Betrieb einer Tabak Trafik;;;;;https://www.unternehmen24.info/Firmeninformationen/Österreich/Firma/77776116209;
09.09.2023;FN 611617m;;Cermak Schwarz RechtsanwältInnen OG;Wien;1070;Döblergasse 2/26A;;Der Gegenstand des Unternehmens ist die Ausübung der Rechtsanwaltschaft einschließlich der erforderlichen Hilfstätigkeiten, wie etwa des Kanzleibetriebes und die Verwaltung des Gesellschaftsvermögens.;;;;;https://www.unternehmen24.info/Firmeninformationen/Österreich/Firma/77776116179;
09.09.2023;FN 611616k;;Winkler Energie GmbH;Kematen an der Krems;4532;Achleiten 2;35000 €;Errichtung und Betrieb von Energieerzeugungsanlagen, insbesondere Photovoltaikanlagen;;;;;https://www.unternehmen24.info/Firmeninformationen/Österreich/Firma/77776116169;
09.09.2023;FN 611614h;;SV Bscheider KG;Premstätten;8141;Thalerhofstraße 5;;Erstellung von Sachverständigengutachten Baubegleitung und -abwicklung Errichtung von Leistungsverzeichnissen;;;;;https://www.unternehmen24.info/Firmeninformationen/Österreich/Firma/77776116149;
09.09.2023;FN 611611d;;KMG Datenverarbeitung GmbH;Ungerdorf;8200;Ungerdorf 116;35000 €;"a) die Dienstleistung in der automatischen Datenverarbeitung- und Informationstechnik; b) der Handel mit Software und elektronischen Geräten; c) der Erwerb, die Pachtung, sowie die Beteiligung an Unter- nehmungen gleicher oder ähnlicher Art, sowie die Übernahme der Geschäftsführung an diesen; d) die Übernahme einschlägiger Handelsvertretungen.";;;;;https://www.unternehmen24.info/Firmeninformationen/Österreich/Firma/77776116119;
09.09.2023;FN 611610b;;JKS GmbH;Kronstorf;4484;Salbeistraße 3;35000 €;An- und Verkauf, Entwicklung sowie Vermietung bzw. Verpachtung von Immobilien;;;;;https://www.unternehmen24.info/Firmeninformationen/Österreich/Firma/77776116109;
09.09.2023;FN 611609a;;Bio Xplosion GmbH;Wien;1110;Lorystraße 128/2/16;35000 €;Handel mit Waren aller Art;;;;;https://www.unternehmen24.info/Firmeninformationen/Österreich/Firma/77776116099;
09.09.2023;FN 611604v;;Active Cyber Defense Center Service GmbH;Vorchdorf;4655;Feldhamerstraße 2;50000 €;IT-Dienstleistungen, Bereitstellung von Software und Hardware, Handel mit Waren aller Art;;;;;https://www.unternehmen24.info/Firmeninformationen/Österreich/Firma/77776116049;
09.09.2023;FN 611596g;;Dein Yoga Leo e.U.;Wien;1020;Bruno-Marek-Allee 5/9 G8;;Yoga Studio;;;;;https://www.unternehmen24.info/Firmeninformationen/Österreich/Firma/77776115969;
09.09.2023;FN 611593b;;dendro.at OG;Eisenstadt;7000;Magdalenensiedlung 2a;;Dendrochronologische Altersbestimmung von Hölzern;;;;;https://www.unternehmen24.info/Firmeninformationen/Österreich/Firma/77776115939;
09.09.2023;FN 611588w;;FACT IS FACT e.U.;Eisenstadt;7000;Mattersburger Straße 26;;Unternehmensberatung einschließlich der Unternehmensorganisation gem. § 94 Z 74 GewO 1994;;;;;https://www.unternehmen24.info/Firmeninformationen/Österreich/Firma/77776115889;
09.09.2023;FN 611586t;;Die Kleidermacherin Katrin Höhn GmbH;Stattegg;8046;Weinstraße 14a;35000 €;Damenkleidermacherin;;;;;https://www.unternehmen24.info/Firmeninformationen/Österreich/Firma/77776115869;
09.09.2023;FN 611576b;;DS Synfonica GmbH;Wien;1050;Embelgasse 21-23/2/8;35000 €;- Musikproduktion - Verwertung von Immaterialgüterrechten - Musikverlag;;;;;https://www.unternehmen24.info/Firmeninformationen/Österreich/Firma/77776115769;
09.09.2023;FN 611574z;;UB-MTT GmbH;Wien;1110;Hadatschgasse 2;35000 €;Malergewerbe, Hausbetreuung und Reinigung;;;;;https://www.unternehmen24.info/Firmeninformationen/Österreich/Firma/77776115749;
09.09.2023;FN 611571w;;BME Transport e.U.;Wien;1100;Troststraße 53/15;;Güterbeförderung 3.500 kg nicht übersteigt;;;;;https://www.unternehmen24.info/Firmeninformationen/Österreich/Firma/77776115719;
09.09.2023;FN 611564i;;BK.PARTNERS Bugelnig Kirner Rechtsanwälte OG;Wien;1070;Neustiftgasse 3/2;;Ausübung der Rechtsanwaltschaft einschließlich der erforderlichen Hilfstätigkeiten und der Verwaltung des Gesellschaftsvermögens;;;;;https://www.unternehmen24.info/Firmeninformationen/Österreich/Firma/77776115649;
09.09.2023;FN 611560d;;Ybsilon Cafe Gesellschaft m.b.H.;Lunz am See;3293;Ybbsstraße 9;36000 €;Gastgewerbe;;;;;https://www.unternehmen24.info/Firmeninformationen/Österreich/Firma/77776115609;
09.09.2023;FN 611556y;;Nemec Kern Loevi Rechtsanwälte Partner schaft;Wien;1090;Berggasse 21/7;;Beratung und Vertretung in Rechtsangelegenheiten im Rahmen der Ausübung der Rechtsanwaltschaft;;;;;https://www.unternehmen24.info/Firmeninformationen/Österreich/Firma/77776115569;
